product_id,category,brand_tier,price_usd,promo,endcap,facings,shelf_height_cm,aisle_distance_from_entrance_m,bay_position_1_to_10,distance_from_shopper_cm,traffic_per_hour,weeks_on_shelf,competitor_price_gap,stockouts_per_week,sales_units_week,revenue_usd,conversion_rate,week_start
1,Personal Care,Premium,6.18,0,0,4,84.7,49.8,3,2.5,139.5,18,0.063,0,8,49.44,0.000683,2025-10-27
2,Snacks,Mainstream,3.0,1,1,1,160.8,8.7,9,3.5,298.8,24,0.102,6,159,477.0,0.006334,2025-10-27
3,Household,Premium,10.0,0,0,2,92.8,23.0,10,4.5,216.2,34,-0.095,0,9,90.0,0.000496,2025-10-27
4,Personal Care,Mainstream,6.99,0,1,5,77.6,16.9,6,0.5,235.1,52,-0.236,0,13,90.87,0.000658,2025-10-27
5,Beverages,Value,2.42,0,0,5,140.9,14.6,6,0.5,256.8,30,0.191,0,135,326.7,0.006259,2025-10-27
6,Household,Premium,7.66,0,0,3,62.3,1.5,6,0.5,221.8,37,0.058,0,1,7.66,5.4e-05,2025-10-27
7,Personal Care,Mainstream,4.39,0,0,5,68.4,34.0,1,4.5,222.1,31,-0.143,0,8,35.12,0.000429,2025-10-27
8,Personal Care,Value,4.55,1,0,6,170.4,24.1,9,3.5,193.6,23,0.042,0,53,241.15,0.003259,2025-10-27
9,Beverages,Value,2.46,1,1,3,42.2,33.1,8,2.5,135.7,49,0.16,0,0,0.0,0.0,2025-10-27
10,Snacks,Mainstream,3.27,0,0,2,92.2,18.3,9,3.5,199.4,50,0.259,0,11,35.97,0.000657,2025-10-27
11,Snacks,Value,3.03,0,0,4,116.5,56.5,2,3.5,90.7,17,0.038,0,27,81.81,0.003545,2025-10-27
12,Household,Value,6.18,0,0,1,64.5,35.5,9,3.5,142.6,47,0.159,0,0,0.0,0.0,2025-10-27
13,Cereal,Value,4.38,0,0,6,72.2,57.7,4,1.5,95.6,24,-0.181,0,0,0.0,0.0,2025-10-27
14,Personal Care,Mainstream,5.32,0,1,3,63.3,21.0,9,3.5,238.0,39,-0.005,0,7,37.24,0.00035,2025-10-27
15,Snacks,Mainstream,3.13,1,0,5,81.8,0.1,10,4.5,282.3,27,-0.05,0,25,78.25,0.001054,2025-10-27
16,Beverages,Mainstream,3.2,0,0,5,164.8,46.9,9,3.5,105.3,40,0.051,0,24,76.8,0.002713,2025-10-27
17,Cereal,Value,4.25,0,0,3,94.7,49.6,10,4.5,134.1,46,0.242,0,8,34.0,0.00071,2025-10-27
18,Beverages,Value,2.78,0,0,6,92.7,3.5,2,3.5,357.1,23,0.037,0,28,77.84,0.000933,2025-10-27
19,Personal Care,Mainstream,5.94,0,1,5,88.0,37.5,4,1.5,181.8,37,-0.141,0,22,130.68,0.001441,2025-10-27
20,Cereal,Mainstream,4.33,1,0,6,174.6,39.7,3,2.5,144.4,27,-0.19,0,46,199.18,0.003793,2025-10-27
21,Personal Care,Mainstream,4.76,0,0,1,47.6,8.7,6,0.5,226.9,42,0.247,0,0,0.0,0.0,2025-10-27
22,Snacks,Value,2.75,0,0,3,160.8,33.2,10,4.5,166.7,10,0.077,1,37,101.75,0.002643,2025-10-27
23,Household,Value,5.35,0,0,6,79.1,14.6,7,1.5,247.4,38,0.067,0,10,53.5,0.000481,2025-10-27
24,Household,Value,6.41,1,1,5,173.5,1.0,6,0.5,379.5,31,-0.052,1,181,1160.21,0.005678,2025-10-27
25,Personal Care,Mainstream,5.69,0,0,3,77.3,52.0,9,3.5,120.0,24,0.04,0,2,11.38,0.000198,2025-10-27
26,Beverages,Mainstream,3.34,0,0,1,42.4,29.5,2,3.5,185.8,20,-0.148,0,0,0.0,0.0,2025-10-27
27,Snacks,Premium,4.54,0,0,2,108.0,46.9,7,1.5,106.9,37,0.058,0,15,68.1,0.00167,2025-10-27
28,Beverages,Mainstream,3.05,0,1,4,64.2,43.4,6,0.5,200.9,19,-0.176,0,11,33.55,0.000652,2025-10-27
29,Beverages,Mainstream,3.37,1,1,4,142.9,59.6,3,2.5,117.7,2,-0.054,2,118,397.66,0.011938,2025-10-27
30,Personal Care,Mainstream,5.75,0,0,6,128.6,26.3,7,1.5,243.3,50,-0.096,0,82,471.5,0.004013,2025-10-27
31,Personal Care,Value,4.7,0,0,1,133.0,25.7,9,3.5,204.0,24,-0.489,0,55,258.5,0.003209,2025-10-27
32,Household,Mainstream,8.11,0,0,3,59.0,16.9,9,3.5,306.7,9,-0.052,0,1,8.11,3.9e-05,2025-10-27
33,Snacks,Mainstream,3.53,0,0,2,136.3,37.5,9,3.5,180.3,12,-0.135,0,66,232.98,0.004359,2025-10-27
34,Snacks,Mainstream,3.39,0,0,6,76.7,29.2,9,3.5,184.8,44,-0.032,0,9,30.51,0.00058,2025-10-27
35,Snacks,Value,2.73,1,0,1,179.8,43.7,5,0.5,119.7,18,0.0,0,38,103.74,0.003778,2025-10-27
36,Beverages,Mainstream,3.21,0,1,2,139.8,21.4,1,4.5,234.7,15,0.265,2,91,292.11,0.004615,2025-10-27
37,Beverages,Premium,4.23,0,0,2,118.6,7.9,10,4.5,296.3,26,0.046,2,69,291.87,0.002773,2025-10-27
38,Snacks,Value,2.95,0,0,1,160.1,51.7,5,0.5,116.1,2,0.05,2,46,135.7,0.004715,2025-10-27
39,Beverages,Mainstream,3.41,0,0,4,118.4,49.7,7,1.5,108.5,30,0.074,1,40,136.4,0.004391,2025-10-27
40,Personal Care,Mainstream,4.51,0,0,4,112.9,21.1,1,4.5,238.0,3,0.131,0,30,135.3,0.001501,2025-10-27
41,Snacks,Value,2.95,0,0,4,65.6,41.4,9,3.5,140.6,44,0.068,0,2,5.9,0.000169,2025-10-27
42,Personal Care,Mainstream,5.47,0,0,6,131.7,29.5,9,3.5,201.0,23,0.042,0,36,196.92,0.002132,2025-10-27
43,Personal Care,Mainstream,5.11,0,1,3,86.2,45.7,10,4.5,138.7,12,0.107,0,12,61.32,0.00103,2025-10-27
44,Snacks,Premium,5.54,1,0,2,36.5,23.4,2,3.5,232.8,24,-0.364,0,0,0.0,0.0,2025-10-27
45,Personal Care,Premium,6.82,0,0,3,152.4,32.1,9,3.5,181.4,10,0.313,0,31,211.42,0.002034,2025-10-27
46,Personal Care,Value,4.48,0,0,5,37.8,3.5,7,1.5,357.3,17,0.238,0,0,0.0,0.0,2025-10-27
47,Snacks,Mainstream,3.5,0,0,4,130.8,10.5,2,3.5,300.4,7,0.033,0,85,297.5,0.003369,2025-10-27
48,Snacks,Mainstream,2.86,0,0,2,53.5,46.9,6,0.5,123.7,35,-0.212,0,2,5.72,0.000193,2025-10-27
49,Personal Care,Value,4.33,0,1,5,94.9,22.9,5,0.5,246.8,51,0.182,0,59,255.47,0.002845,2025-10-27
50,Beverages,Mainstream,3.3,0,0,5,158.9,2.1,7,1.5,400.9,26,-0.104,1,183,603.9,0.005435,2025-10-27
51,Beverages,Premium,3.51,0,0,2,44.2,10.1,1,4.5,250.5,6,0.08,0,2,7.02,9.5e-05,2025-10-27
52,Beverages,Value,2.34,1,0,4,130.1,24.7,6,0.5,218.5,4,-0.192,1,232,542.88,0.012642,2025-10-27
53,Personal Care,Mainstream,6.26,1,0,4,121.9,43.1,7,1.5,127.7,44,0.334,0,40,250.4,0.003729,2025-10-27
54,Personal Care,Premium,7.85,0,0,2,160.1,21.8,8,2.5,156.5,19,-0.216,0,43,337.55,0.003272,2025-10-27
55,Personal Care,Mainstream,5.78,1,0,1,55.9,44.7,8,2.5,108.9,16,0.01,0,0,0.0,0.0,2025-10-27
56,Personal Care,Mainstream,5.25,1,0,5,150.0,51.5,7,1.5,121.5,6,-0.318,0,87,456.75,0.008528,2025-10-27
57,Snacks,Premium,4.26,0,0,4,97.5,20.5,8,2.5,236.1,35,-0.006,0,27,115.02,0.001362,2025-10-27
58,Cereal,Mainstream,4.6,0,0,5,94.3,48.0,1,4.5,130.2,4,-0.064,0,12,55.2,0.001097,2025-10-27
59,Beverages,Value,2.3,0,0,3,84.3,7.6,8,2.5,326.3,48,0.171,0,22,50.6,0.000803,2025-10-27
60,Beverages,Value,2.29,0,0,4,87.8,24.9,4,1.5,206.2,11,-0.064,0,29,66.41,0.001675,2025-10-27
61,Personal Care,Premium,6.45,0,0,6,108.0,5.9,6,0.5,253.4,4,0.171,0,43,277.35,0.00202,2025-10-27
62,Snacks,Value,2.67,0,1,2,46.0,3.2,6,0.5,410.6,37,-0.154,0,3,8.01,8.7e-05,2025-10-27
63,Cereal,Mainstream,4.27,1,0,4,93.8,3.9,10,4.5,303.8,19,-0.042,0,46,196.42,0.001803,2025-10-27
64,Personal Care,Value,4.77,0,0,1,127.8,6.3,4,1.5,258.9,37,-0.039,0,80,381.6,0.003679,2025-10-27
65,Cereal,Mainstream,5.11,0,1,1,104.7,50.1,4,1.5,157.5,3,0.074,2,38,194.18,0.002872,2025-10-27
66,Cereal,Premium,7.39,0,0,6,54.9,32.6,8,2.5,168.6,45,0.055,0,0,0.0,0.0,2025-10-27
67,Cereal,Mainstream,4.67,0,0,1,84.5,56.8,7,1.5,93.8,17,0.108,0,3,14.01,0.000381,2025-10-27
68,Snacks,Premium,4.49,1,0,4,96.4,32.3,4,1.5,163.4,40,0.04,0,34,152.66,0.002478,2025-10-27
